,area,women_labor_prct
0,Mitte,69.7
1,Pankow,82.2
2,Friedrichsh.-Kreuzb.,80.1
3,Lichtenberg,77.1
4,Charlbg.-Wilmersd.,72.2
5,Tempelh.-Schöneb.,74.0
6,Neukölln,68.8
7,Steglitz-Zehlend.,75.5
8,Treptow-Köpenick,81.0
9,Marzahn-Hellersd.,75.8
10,Reinickendorf,69.5
11,Spandau,66.4
