,kita_name,kita_address,kita_spots,plz
76,kindergarten der bethlehem-kirche,"20255 Hamburg, Alardusstraße 20",44,20255
77,kindertagesheim st. stephanus,"20255 Hamburg, Schwenckestraße 52",80,20255
78,kath. kindertagesstätte st. bonifatius,"20255 Hamburg, Am Weiher 29",0,20255
79,kindergruppe bollerwagen e. v.,"20255 Hamburg, Eidelstedter Weg 63",16,20255
80,kita eichenstraße,"20255 Hamburg, Eichenstraße 61",0,20255
81,hamburg international kids (bilinguale kita),"20255 Hamburg, Telemannstraße 27",45,20255
82,kita heussweg,"20255 Hamburg, Heussweg 25",0,20255
83,kita hoppetosse e.v.,"20255 Hamburg, Stellinger Weg 4",24,20255
84,kita eimsbüttel krippenhaus,"20255 Hamburg, Eidelstedter Weg 107",60,20255
85,"kita4zeiten, elementarhaus hamburg eimsbüttel","20255 Hamburg, Lutterothstraße 98",80,20255
86,kita kinderkönigreich,"20255 Hamburg, Eidelstedter Weg 75",32,20255
87,kinderladen lollypopp,"20255 Hamburg, Eichenstraße 35",27,20255
88,kinderladen rombergstraße,"20255 Hamburg, Rombergstraße 22",14,20255
89,kita telemannstraße,"20255 Hamburg, Telemannstraße 23",0,20255
90,"bengel und engel, priv. kindertagesstätte und kinderhotel","20257 Hamburg, Sillemstraße 60a",0,20257
91,kita müggenkampstraße,"20257 Hamburg, Müggenkampstraße 61",0,20257
92,kita rellinger straße,"20257 Hamburg, Rellinger Straße 13",0,20257
93,ev. kindergarten und krippe der apostelkirche,"20257 Hamburg, Schwenckestraße 5",36,20257
94,spielhaus eimsbütteler marktplatz,"20257 Hamburg, Eimsbütteler Marktplatz 1c",0,20257
95,kinderhaus stenvort,"20257 Hamburg, Stenvort 2",60,20257
96,krippe minimeter,"20257 Hamburg, Langenfelder Damm 41",18,20257
97,kita in der schule eduardstraße,"20257 Hamburg, Eduardstraße 28",0,20257
98,kinderhaus fledermaus,"20257 Hamburg, Lappenbergsallee 8",40,20257
99,kinderladen prickelkids,"20257 Hamburg, Bei der Apostelkirche 12",25,20257
100,kinderladen regenbogenkinder,"20257 Hamburg, Pinneberger Weg 25",0,20257
101,kinderladen vierjahreszeiten,"20257 Hamburg, Bei der Apostelkirche 4",15,20257
102,kita pünktchens tintenklecks (eimsbütteler marktplatz),"20257 Hamburg, Eimsbütteler Marktplatz 38",0,20257
103,kita lokomotive,"20257 Hamburg, Langenfelder Damm 12",0,20257
104,kita emilienstraße,"20259 Hamburg, Emilienstraße 71",0,20259
105,kita kaiser-friedrich-ufer,"20259 Hamburg, Kaiser-Friedrich-Ufer 5",0,20259
106,kita tornquiststraße,"20259 Hamburg, Tornquiststraße 19 c",0,20259
107,kindertagesheim christuskirche,"20259 Hamburg, Eimsbütteler Chaussee 24",77,20259
108,wurzelkinder e.v.,"20259 Hamburg, Eimsbütteler Chaussee 28",34,20259
109,spielhaus wehbers park,"20259 Hamburg, Emilienstraße 55",0,20259
110,lek sä in i norden (die skandinavische kita in hamburg),"20259 Hamburg, Eimsbütteler Chaussee 86",0,20259
111,deutsch-chinesischer kindergarten hamburg,"20259 Hamburg, Doormannsweg 41-43",55,20259
112,kita `die halben meter´,"20259 Hamburg, Henriettenweg 5-7",50,20259
113,krippe minimeter 2,"20259 Hamburg, Fruchtallee 124a",24,20259
114,kita früchtchen,"20259 Hamburg, Fruchtallee 121",50,20259
115,kinderladen belle 66 e.v.,"20259 Hamburg, Bellealliancestraße  66",24,20259
116,kinderhaus tornquiststraße,"20259 Hamburg, Tornquiststraße 22",0,20259
117,kinderladen 100 blumen,"20259 Hamburg, Eppendorfer Weg 121",20,20259
118,kinderladen tobekatzen,"20259 Hamburg, Weidenstieg 17",25,20259
119,kindervilla fruchtallee,"20259 Hamburg, Fruchtallee 22",64,20259
120,krippe am lindenpark,"20259 Hamburg, Lindenallee 35",0,20259
121,kinderladen libelle,"20259 Hamburg, Bellealliancestrasse 28",25,20259
122,kita 'lütte sternenkieker'  (emilienstraße),"20259 Hamburg, Emilienstraße 14a",0,20259
123,montessori kinderhaus monaddrei (henriettenstraße),"20259 Hamburg, Henriettenstraße 22 a",0,20259
124,kita pünktchens tintenklecks (eppendorfer weg),"20259 Hamburg, Eppendorfer Weg 13",0,20259
125,kita schmuddelkinder 'kinderladen',"20259 Hamburg, Eppendorfer Weg 4-6",48,20259
126,kita zauberzeit,"20259 Hamburg, Eppendorfer Weg 12",14,20259
127,kita zauberzeit 2,"20259 Hamburg, Eimsbütteler Chaussee 57",46,20259
128,ev. kindertagesstätte hohe weide,"20259 Hamburg, Hohe Weide 17b",95,20259
129,kinderzimmer conventparc,"20354 Hamburg, Amelungstraße 8",0,20354
130,kita markusstraße,"20355 Hamburg, Markusstraße 10",0,20355
131,kindertagesstätte an der bucerius law school,"20355 Hamburg, Jungiusstraße 6",40,20355
132,kinderzimmer valentinshof,"20355 Hamburg, Caffamacherreihe 8",0,20355
133,kinderladen murmel e.v.,"20355 Hamburg, Jungiusstraße 3",38,20355
134,kita wolkenzwerge hamburg,"20355 Hamburg, Caffamacherreihe 1",50,20355
135,asb kita augustenpassage,"20357 Hamburg, Augustenpassage 8",40,20357
136,kita glashüttenstraße,"20357 Hamburg, Glashüttenstraße 81",0,20357
137,kita karolinenstraße,"20357 Hamburg, Karolinenstraße 35",0,20357
138,stiftung kindergärten finkenau `musikkindergarten´,"20357 Hamburg, Lagerstraße 34a",120,20357
139,baby-krippe am schlump,"20357 Hamburg, Schäferstraße 8",22,20357
140,kita im mehrgenerationenhaus nachbarschatz,"20357 Hamburg, Amandastraße 58",60,20357
141,kinderladen belle,"20357 Hamburg, Schäferstraße 22b",24,20357
142,kinderhaus weidenallee,"20357 Hamburg, Weidenallee 22 a",0,20357
143,kinderladen bambino,"20357 Hamburg, Weidenallee 37",50,20357
144,kinderladen zauberlinge,"20357 Hamburg, Margaretenstraße 36 a",21,20357
145,kinderstube altona,"20357 Hamburg, Bartelsstraße 65",25,20357
146,krippe fliegenpilze,"20357 Hamburg, Weidenallee 44",0,20357
147,kinderhaus margaretenstraße,"20357 Hamburg, Margaretenstraße 64",46,20357
148,montessori kinderhaus monaddrei (schäferkampsallee),"20357 Hamburg, Schäferkampsallee 27",0,20357
149,kita millerntor,"20359 Hamburg, Heiligengeistfeld 2",100,20359
150,ev. kindertagesheim st. pauli,"20359 Hamburg, Budapester Straße 34",97,20359
151,kindertagesheim der st. pauli kirche,"20359 Hamburg, Lange Straße 6 a",0,20359
152,stiftung kindergärten finkenau `krippe zapperlott´,"20359 Hamburg, Seilerstraße 30",0,20359
153,stiftung kindergärten finkenau `zapperlott´,"20359 Hamburg, Simon-Von-Utrecht-Straße 83",0,20359
154,kinderland st. pauli,"20359 Hamburg, Simon-von-Utrecht-Straße 4c",50,20359
155,kita lelka birnbaum,"20359 Hamburg, St. Pauli Hafenstraße 100",0,20359
156,kinderladen karolinenviertel,"20359 Hamburg, Budapester Straße 42",0,20359
157,kinderzimmer astraturm,"20359 Hamburg, Zirkusweg 2",70,20359
158,kinderladen mafalda,"20359 Hamburg, Budapester Straße 13",31,20359
159,st. katharinen-kita in der hafencity,"20457 Hamburg, Am Dalmannkai 14",0,20457
160,kinderzimmer lohsepark,"20457 Hamburg, Yokohamastraße",120,20457
161,companykids hafencity,"20457 Hamburg, Am Dalmannkai 14",12,20457
162,ev. kita st. michaelis,"20459 Hamburg, Gerstäckerstraße 5",0,20459
163,kita fleetpiraten,"20459 Hamburg, Herrengraben 26",56,20459
164,kinderzimmer stubbenhuk,"20459 Hamburg, Stubbenhuk 9",100,20459
165,companykids hamburg,"20459 Hamburg, Michaelisstraße 2",0,20459
166,kita hinrichsenstraße,"20535 Hamburg, Hinrichsenstraße 6 a",60,20535
167,kita jordanstraße,"20535 Hamburg, Jordanstraße 26",88,20535
168,kindertagesstätte dreifaltigkeitskirche,"20535 Hamburg, Bei der Hammer Kirche 18",140,20535
169,kindertagesheim der ev.-luth. kirchengemeinde hamburg hamm pauluskirche,"20535 Hamburg, Caspar-Voght-Straße 55",65,20535
170,ev. luth. kindertagesstätte borgfelde,"20535 Hamburg, Klaus-Groth-Straße 6",0,20535
171,villa sonnenschein  wichernkirche,"20535 Hamburg, Morahtstieg 4",72,20535
172,kindertagesstätte bezirk simeonkirche,"20535 Hamburg, Sievekingsallee 12 a",60,20535
173,"hammer strolche, kita der ev.-freikirchlichen gemeinde hamburg-hamm","20535 Hamburg, Sievekingsallee 77",46,20535
174,kath. kita herz jesu,"20535 Hamburg, Bei der Hammer Kirche 10",70,20535
175,kath. kindertagesstätte am marienkrankenhaus,"20535 Hamburg, Alfredstraße 38",25,20535
176,kindergarten hort 1816 e.v.,"20535 Hamburg, Sievekingdamm 7",0,20535
177,kita  aktiv,"20535 Hamburg, Carl-Petersenstraße 43",74,20535
178,kita kinderburg,"20535 Hamburg, Bethesdastraße 40",0,20535
179,kinderkrippe mamamia (pas),"20535 Hamburg, Hinrichsenstraße 35",0,20535
180,kita osterbrook,"20537 Hamburg, Osterbrook 49",0,20537
181,kita droopweg,"20537 Hamburg, Droopweg 31",110,20537
182,kita in der schule osterbrook,"20537 Hamburg, Osterbrook 17",0,20537
183,kita kinderschlupf,"20537 Hamburg, Luisenweg 10",0,20537
184,kita wunderkabinett (krippe),"20537 Hamburg, Hammer Landstraße 84",0,20537
185,kita wunderkabinett (elementar),"20537 Hamburg, Hammer Landstraße 124",0,20537
186,kita marckmannstraße,"20539 Hamburg, Marckmannstraße 100",0,20539
187,kita uffelnsweg,"20539 Hamburg, Uffelnsweg 1",0,20539
188,ev. kindertagesheim veddel,"20539 Hamburg, Wilhelmsburger Straße 71",80,20539
189,stiftung kindergärten finkenau `sonnenschein´,"20539 Hamburg, Bullenhuser Damm 92",100,20539
190,stiftung kindergärten finkenau `sonnenschein 2´,"20539 Hamburg, Lindleystraße 2",60,20539
191,spielhaus katenweide,"20539 Hamburg, Katenweide 8a",0,20539
192,spielhaus traunspark,"20539 Hamburg, Ausschläger Elbdeich 1b",0,20539
193,kita vierländer,"20539 Hamburg, Vierländer Damm 86",30,20539
194,integratives kinderhaus kunterbunt,"21029 Hamburg, Wentorfer Str. 66",36,21029
195,awo wald- kita bergedorf,"21029 Hamburg, Rothenhauschaussee 235 b",44,21029
196,kita august-bebel-straße,"21029 Hamburg, August-Bebel-Straße 15",0,21029
197,evangelisch-lutherische kirchengemeinde st. petri und pauli zu bergedorf,"21029 Hamburg, Bergedorfer Schloßstraße 5",0,21029
198,ev. kindertagesstätte st. michael,"21029 Hamburg, Gojenbergsweg 26",66,21029
199,montessori kinderhaus bergedorf e.v.,"21029 Hamburg, August-Bebel-Straße 200",53,21029
200,kindertagesstätte neuer mohnhof,"21029 Hamburg, Hinterm Graben 37",180,21029
201,waldorfkindergarten bergedorf - brookkehre,"21029 Hamburg, Brookkehre 12",0,21029
202,bergedorfer krabbelkiste,"21029 Hamburg, August-Bebel-Straße 155",13,21029
