,kita_name,kita_address,kita_spots
56,kita tarpenbekstraße,"20251 Hamburg, Tarpenbekstraße 109",80
57,kindergarten erikastraße,"20251 Hamburg, Erikastraße 90",0
58,kita tilly,"20251 Hamburg, Lokstedter Weg 92",24
59,kindertagesstätte `kleine engel´,"20251 Hamburg, Husumer Straße 2",24
60,kita haus gänseblümchen,"20251 Hamburg, Falkenried 7","<a href=""../hamburg/20251/eppendorferweg234.php"" target=""_blank"" title=""Kita ansehen""><b>kita kind und kegel (krippe)</b></a>"
61,kita kind und kegel (krippe),"20251 Hamburg, Eppendorfer Weg 234",13
62,kita kind und kegel (elementar),"20251 Hamburg, Abendrothsweg 54",23
63,kindergarten flitzepiepen,"20251 Hamburg, Martinistraße 3",31
64,kindergarten `lütte flitzepiepen´,"20251 Hamburg, Schrammsweg 30",13
65,kinderladen momo,"20251 Hamburg, Lokstedter Weg 41",<br/>
66,melia wohlfühl- und bildungskinderladen,"20251 Hamburg, Breitenfelder Straße 30","<a href=""../hamburg/20251/martinistrasse52.php"" target=""_blank"" title=""Kita ansehen""><b>kita eppendorf-uke</b></a>"
67,kita eppendorf-uke,"20251 Hamburg, Martinistraße 52",140
68,kita moltkestraße,"20253 Hamburg, Moltkestraße 46",60
69,kita wrangelstraße,"20253 Hamburg, Wrangelstraße 83","<a href=""../hamburg/20253/eppendorferweg205.php"" target=""_blank"" title=""Kita ansehen""><b>kita  `die strolche´</b></a>"
70,kita  `die strolche´,"20253 Hamburg, Eppendorfer Weg 205",13
71,kinderhaus wrangelstraße,"20253 Hamburg, Wrangelstraße 35",60
72,kinderkrippe 100 blümchen,"20253 Hamburg, Eppendorfer Weg 185",16
73,kindergarten manuelita,"20253 Hamburg, Hoheluftchaussee 95 a",36
74,kita stapellauf,"20253 Hamburg, Eppendorfer Weg 213","<a href=""../hamburg/20253/eppendorfer_weg138.php"" target=""_blank"" title=""Kita ansehen""><b>kita lernhafen</b></a>"
75,kita lernhafen,"20253 Hamburg, Eppendorfer Weg 138",34
76,kindergarten der bethlehem-kirche,"20255 Hamburg, Alardusstraße 20",44
77,kindertagesheim st. stephanus,"20255 Hamburg, Schwenckestraße 52",80
78,kath. kindertagesstätte st. bonifatius,"20255 Hamburg, Am Weiher 29",0
79,kindergruppe bollerwagen e. v.,"20255 Hamburg, Eidelstedter Weg 63",16
80,kita eichenstraße,"20255 Hamburg, Eichenstraße 61","<a href=""../hamburg/20255/telemannstrasse27.php"" target=""_blank"" title=""Kita ansehen""><b>hamburg international kids (bilinguale kita)</b></a>"
81,hamburg international kids (bilinguale kita),"20255 Hamburg, Telemannstraße 27",45
82,kita heussweg,"20255 Hamburg, Heussweg 25","<a href=""../hamburg/20255/stellingerweg4.php"" target=""_blank"" title=""Kita ansehen""><b>kita hoppetosse e.v.</b></a>"
83,kita hoppetosse e.v.,"20255 Hamburg, Stellinger Weg 4",24
84,kita eimsbüttel krippenhaus,"20255 Hamburg, Eidelstedter Weg 107",60
85,"kita4zeiten, elementarhaus hamburg eimsbüttel","20255 Hamburg, Lutterothstraße 98",80
86,kita kinderkönigreich,"20255 Hamburg, Eidelstedter Weg 75",32
87,kinderladen lollypopp,"20255 Hamburg, Eichenstraße 35",27
88,kinderladen rombergstraße,"20255 Hamburg, Rombergstraße 22",14
89,kita telemannstraße,"20255 Hamburg, Telemannstraße 23",<br/>
90,"bengel und engel, priv. kindertagesstätte und kinderhotel","20257 Hamburg, Sillemstraße 60a","<a href=""../hamburg/20257/mueggenkampstrasse61.php"" target=""_blank"" title=""Kita ansehen""><b>kita müggenkampstraße</b></a>"
91,kita müggenkampstraße,"20257 Hamburg, Müggenkampstraße 61","<a href=""../hamburg/20257/rellingerstrasse13.php"" target=""_blank"" title=""Kita ansehen""><b>kita rellinger straße</b></a>"
92,kita rellinger straße,"20257 Hamburg, Rellinger Straße 13",integrationsplätze
