,kita_name,kita_address,kita_spots
222,sportini bille kinder (sport- und bewegungskindertagesstätte),"21033 Hamburg, Mittlerer Landweg 48","<a href=""../hamburg/21033/am_gleisdreieck19a.php"" target=""_blank"" title=""Kita ansehen""><b>frosch-kita billwerder - haus gelb</b></a>"
223,frosch-kita billwerder - haus gelb,"21033 Hamburg, Am Gleisdreieck 19 a",75
224,frosch-kita billwerder haus rot,"21033 Hamburg, Am Gleisdreieck 4 a",50
225,awo kita johanna-kirchner-haus,"21035 Hamburg, Fanny-Lewald-Ring 130 a",120
226,awo kita von-halem-straße,"21035 Hamburg, Von-Halem-Straße 19",150
227,kita henriette-herz-ring,"21035 Hamburg, Henriette-Herz-Ring 41","<a href=""../hamburg/21035/wiesnerring35.php"" target=""_blank"" title=""Kita ansehen""><b>kita wiesnerring</b></a>"
228,kita wiesnerring,"21035 Hamburg, Wiesnerring 35","<a href=""../hamburg/21035/marta-damkowski-kehre1.php"" target=""_blank"" title=""Kita ansehen""><b>ev. kindertagesstätte neu-allermöhe e.v.</b></a>"
229,ev. kindertagesstätte neu-allermöhe e.v.,"21035 Hamburg, Marta-Damkowski-Kehre 1","<a href=""../hamburg/21035/nettelnburgerkirchenweg4.php"" target=""_blank"" title=""Kita ansehen""><b>ev. kita bugenhagen</b></a>"
230,ev. kita bugenhagen,"21035 Hamburg, Nettelnburger Kirchenweg 4",57
231,katholische kindertagesstätte edith stein,"21035 Hamburg, Edith-Stein-Platz 1",140
232,kinderland  `haus am fleet´,"21035 Hamburg, Margit-Zinke-Straße 1",0
233,spielhaus `kiebitz´ neu-allermöhe-west,"21035 Hamburg, Konrad-Veix-Stieg 3b","<a href=""../hamburg/21035/marta-damkowski-kehre25.php"" target=""_blank"" title=""Kita ansehen""><b>spielhaus neu-allermöhe</b></a>"
234,spielhaus neu-allermöhe,"21035 Hamburg, Marta-Damkowski-Kehre 25","<a href=""../hamburg/21035/rungedamm7.php"" target=""_blank"" title=""Kita ansehen""><b>kindertagesstätte  wirbelkinder</b></a>"
235,kindertagesstätte  wirbelkinder,"21035 Hamburg, Rungedamm 7",130
236,kindergarten zauberkasten,"21035 Hamburg, Otto-Grot-Straße 78 a","<a href=""../hamburg/21035/wilhelmine-hundert-weg2-6.php"" target=""_blank"" title=""Kita ansehen""><b>kindertagesstätte `kinderhaus springmaus´</b></a>"
237,kindertagesstätte `kinderhaus springmaus´,"21035 Hamburg, Wilhelmine-Hundert-Weg 2-6",210
238,kita schmusebacke - kita allermöhe,"21035 Hamburg, Fleetplatz 7",65
239,kita schmusebacke - kita nettelnburg,"21035 Hamburg, Edith-Stein-Platz 2",65
240,kinderzimmer glasbläserhöfe,"21035 Hamburg, Weidenbaumsweg 91a",0
241,kindertagesstätte 'fleetkinder',"21035 Hamburg, Walter-Rothenburg-Weg 39",152
242,elkes 7 zwerge kindertagesstätte 1,"21037 Hamburg, Kirchwerder Elbdeich 126","<a href=""../hamburg/21037/kirchwerderlandweg2.php"" target=""_blank"" title=""Kita ansehen""><b>waldorfkindergarten bergedorf - kirchwerder</b></a>"
243,waldorfkindergarten bergedorf - kirchwerder,"21037 Hamburg, Kirchwerder Landweg 2",22
244,ev. kindertagesstätte st. pankratius ochsenwerder,"21037 Hamburg, Graumanntwiete 5","<a href=""../hamburg/21037/kirchenheerweg6.php"" target=""_blank"" title=""Kita ansehen""><b>ev. kindergarten st. severini kirchwerder</b></a>"
245,ev. kindergarten st. severini kirchwerder,"21037 Hamburg, Kirchenheerweg 6",55
246,ev. kindergarten fünfhausen st. severini,"21037 Hamburg, Lauweg 16","<a href=""../hamburg/21037/kirchwerderlandweg248.php"" target=""_blank"" title=""Kita ansehen""><b>kindergarten grashüpfer</b></a>"
247,kindergarten grashüpfer,"21037 Hamburg, Kirchwerder Landweg 248",0
248,kindergarten pusteblume kirchwerder,"21037 Hamburg, Sander Deichweg 9",0
249,elkes 7 zwerge kindertagesstätte 2,"21037 Hamburg, Kirchenheerweg 103","<a href=""../hamburg/21037/krauelerhauptdeich73.php"" target=""_blank"" title=""Kita ansehen""><b>kita storchennest</b></a>"
250,kita storchennest,"21037 Hamburg, Kraueler Hauptdeich 73",<br/>
251,kita curslacker deich,"21039 Hamburg, Curslacker Deich 140","<a href=""../hamburg/21039/feldstegel8a.php"" target=""_blank"" title=""Kita ansehen""><b>ev. kindertagesstätte st. johannis zu neuengamme</b></a>"
252,ev. kindertagesstätte st. johannis zu neuengamme,"21039 Hamburg, Feldstegel 18 a",100
253,ev. kindergarten st. nicolai,"21039 Hamburg, Kirchenstegel 11",88
254,kindertagesstätte `wirbelwind´,"21039 Hamburg, Boldtstraße 15",56
255,kita schmusebacke - kita curslack,"21039 Hamburg, Curslacker Heerweg 263",110
256,kindergarten escheburger strolche e. v.,"
Schleswig-Holstein, 21039 Escheburg, Schulweg 3",95
257,kindertagesstätte 'krümelkiste',"
Schleswig-Holstein, 21039 Börnsen, Hamfelderedder 17",140
258,kindertagesstätte flohzirkus börnsen,"
Schleswig-Holstein, 21039 Börnsen, Steinredder 1 b",38
259,asb kita kirchenhang,"21073 Hamburg, Kirchenhang 33",60
260,kita baererstrasse,"21073 Hamburg, Baererstrasse 85","<a href=""../hamburg/21073/eddelbuettelstrasse9.php"" target=""_blank"" title=""Kita ansehen""><b>kita eddelbüttelstraße</b></a>"
261,kita eddelbüttelstraße,"21073 Hamburg, Eddelbüttelstraße  9","<a href=""../hamburg/21073/harburgerrathauspassage4.php"" target=""_blank"" title=""Kita ansehen""><b>kita harburger rathauspassage</b></a>"
262,kita harburger rathauspassage,"21073 Hamburg, Harburger Rathauspassage 4","<a href=""../hamburg/21073/wilhelmstrasse35.php"" target=""_blank"" title=""Kita ansehen""><b>kindertagesstätte  `kerni-kids´</b></a>"
263,kindertagesstätte  `kerni-kids´,"21073 Hamburg, Wilhelmstraße 35",0
264,kinderzentrum kennedy-haus,"21073 Hamburg, Kalischerstraße 18","<a href=""../hamburg/21073/kirchwerderelbdeich126.php"" target=""_blank"" title=""Kita ansehen""><b>elkes 7 zwerge kindertagesstätte 1</b></a>"
265,elkes 7 zwerge kindertagesstätte 1,"21073 Hamburg, Kirchwerder Elbdeich 126","<a href=""../hamburg/21073/harburger_rathausstrasse40.php"" target=""_blank"" title=""Kita ansehen""><b>kita rathausspatzen</b></a>"
266,kita rathausspatzen,"21073 Hamburg, Harburger Rathausstraße 40","altershomogene gruppen, inklusion, bewegung, sprache, natur"
267,kita bremer straße,"21073 Hamburg, Bremer Straße 105 b",90
268,kita harmsstraße,"21073 Hamburg, Harmsstraße 21","<a href=""../hamburg/21073/haeckelstrasse2.php"" target=""_blank"" title=""Kita ansehen""><b>kita kunterbunt</b></a>"
269,kita kunterbunt,"21073 Hamburg, Haeckelstraße 2","<a href=""../hamburg/21073/marienstrasse46a.php"" target=""_blank"" title=""Kita ansehen""><b>kinderladen marienkäfer</b></a>"
270,kinderladen marienkäfer,"21073 Hamburg, Marienstraße 46 a",60
271,kindergarten unizwerge,"21073 Hamburg, Kroosweg 9 a",65
272,asb kita sehpferdchen,"21075 Hamburg, Nobléestraße 38",75
273,kita bissingstraße,"21075 Hamburg, Bissingstraße 31","<a href=""../hamburg/21075/haakestrasse98.php"" target=""_blank"" title=""Kita ansehen""><b>ev. kindertagesstätte st. petrus</b></a>"
274,ev. kindertagesstätte st. petrus,"21075 Hamburg, Haakestraße 98","<a href=""../hamburg/21075/luehmannstrasse13ab.php"" target=""_blank"" title=""Kita ansehen""><b>ev. kindertagesstätte luther</b></a>"
275,ev. kindertagesstätte luther,"21075 Hamburg, Lühmannstraße 13 a + b",195
276,ev. kita st. paulus,"21075 Hamburg, Petersweg 1a",61
277,kindertagesstätte farbenspiel,"21075 Hamburg, An der Rennkoppel 1a",165
278,kita kinderwaldschlösschen,"21075 Hamburg, Hans-Dewitz-Ring 2 c",90
279,kita kunterbunt an der asklepios klinik harburg,"21075 Hamburg, Eißendorfer Pferdeweg 52","<a href=""../hamburg/21075/petersweg2.php"" target=""_blank"" title=""Kita ansehen""><b>praxisausbildungsstätte (pas) petersweg</b></a>"
280,praxisausbildungsstätte (pas) petersweg,"21075 Hamburg, Petersweg 2",<br/>
281,awo wald-kita harburg,"21077 Hamburg, Vahrendorfer Stadtweg 12",48
282,kita elfenwiese,"21077 Hamburg, Elfenwiese 5-7","<a href=""../hamburg/21077/ernst-bergeest-weg46.php"" target=""_blank"" title=""Kita ansehen""><b>kita ernst-bergeest-weg</b></a>"
283,kita ernst-bergeest-weg,"21077 Hamburg, Ernst-Bergeest-Weg 46","<a href=""../hamburg/21077/sinstorferkirchweg2.php"" target=""_blank"" title=""Kita ansehen""><b>kita sinstorfer kirchweg</b></a>"
284,kita sinstorfer kirchweg,"21077 Hamburg, Sinstorfer Kirchweg 2","<a href=""../hamburg/21077/eigenheimweg52.php"" target=""_blank"" title=""Kita ansehen""><b>ev. kindertagesstätte paul-gerhardt</b></a>"
285,ev. kindertagesstätte paul-gerhardt,"21077 Hamburg, Eigenheimweg 52","<a href=""../hamburg/21077/inderaltenforst1.php"" target=""_blank"" title=""Kita ansehen""><b>kita  `alte forst´ der pestalozzi-stiftung</b></a>"
286,kita  `alte forst´ der pestalozzi-stiftung,"21077 Hamburg, In der Alten Forst 1",60
287,kindergarten an der außenmühle,"21077 Hamburg, Marmstorfer Weg 33",36
288,sinstorfer kinderstube,"21077 Hamburg, Winsener Straße 152",44
289,harburger krabbelkiste e.v.,"21077 Hamburg, Beutnerring 2",45
290,kita harburger berge,"21077 Hamburg, Hainholzweg 124",90
291,kindergarten zwergenland,"21077 Hamburg, Hainholzweg 38",16
292,naturkindergarten vogelhüttenberg,"21077 Hamburg, Bremer Straße 242a",45
293,kita schneverdinger weg,"21079 Hamburg, Schneverdinger Weg 1 a","<a href=""../hamburg/21079/roenneburgerstrasse48.php"" target=""_blank"" title=""Kita ansehen""><b>kita bugenhagen</b></a>"
294,kita bugenhagen,"21079 Hamburg, Rönneburger Straße 48",46
295,kath. kindertagesstätte st. franziskus,"21079 Hamburg, Reeseberg 10 a",107
296,kinderzentrum harburg,"21079 Hamburg, Schneverdinger Weg 1b","<a href=""../hamburg/21079/radickestrasse58.php"" target=""_blank"" title=""Kita ansehen""><b>kindertagesstätte radickestraße</b></a>"
297,kindertagesstätte radickestraße,"21079 Hamburg, Radickestraße 58","<a href=""../hamburg/21079/zitadellenstrasse4.php"" target=""_blank"" title=""Kita ansehen""><b>kita harburger schlossinsel</b></a>"
298,kita harburger schlossinsel,"21079 Hamburg, Zitadellenstraße 4",70
299,kita heinrich buchholz-haus,"21079 Hamburg, Vogteistraße 23",130
300,kita janusz korczak-haus,"21079 Hamburg, Scheeßeler Kehre 4",100
301,kinderstadt kita hafencampus,"21079 Hamburg, Theodor-Yorck-Straße 23a",51
302,kinderhaus fleethaus,"21079 Hamburg, Schellerdamm 2","<a href=""../hamburg/21079/reeseberg178b.php"" target=""_blank"" title=""Kita ansehen""><b>kita lillehus</b></a>"
303,kita lillehus,"21079 Hamburg, Reeseberg 178 b",40
304,kinderland moorburg,"21079 Hamburg, Moorburger Elbdeich 249",60
305,kita rasselbande,"21079 Hamburg, Petersdorfstraße 27",25
306,kindertagesstätte sternenkinder,"21079 Hamburg, Bostelbeker Damm 2",30
307,awo kita tigerente,"21107 Hamburg, Schlöperstieg 1 a",100
308,interkultureller waldorfkindergarten,"21107 Hamburg, Georg-Wilhelm-Straße 43-45",38
309,kita eckermannstraße,"21107 Hamburg, Eckermannstraße 3","<a href=""../hamburg/21107/rotenhaeuserdamm90.php"" target=""_blank"" title=""Kita ansehen""><b>kita rotenhäuser damm</b></a>"
310,kita rotenhäuser damm,"21107 Hamburg, Rotenhäuser Damm 90","<a href=""../hamburg/21107/sanitasstrasse11.php"" target=""_blank"" title=""Kita ansehen""><b>kita sanitasstraße</b></a>"
311,kita sanitasstraße,"21107 Hamburg, Sanitasstraße 11","<a href=""../hamburg/21107/georg-wilhelm-strasse121.php"" target=""_blank"" title=""Kita ansehen""><b>ev.kindergarten paul-gerhardt</b></a>"
312,ev.kindergarten paul-gerhardt,"21107 Hamburg, Georg-Wilhelm-Straße 121",36
313,ev. kindertagesstätte emmaus,"21107 Hamburg, Mannesallee 13","<a href=""../hamburg/21107/veringstrasse161.php"" target=""_blank"" title=""Kita ansehen""><b>kath. kindertagesstätte st. bonifatius</b></a>"
314,kath. kindertagesstätte st. bonifatius,"21107 Hamburg, Veringstraße 161",160
315,kita fakiha,"21107 Hamburg, Weimarer Straße 15",100
316,kita bernhard dey-haus `vogelhütte´,"21107 Hamburg, Hans-Sander-Straße 7",75
317,inselkinder e.v.,"21107 Hamburg, Rotenhäuser Damm 58",20
318,asb kita koppelstieg,"21109 Hamburg, Koppelstieg 40",130
319,kita auf der höhe,"21109 Hamburg, Auf der Höhe 51",60
320,kita kirchdorfer straße,"21109 Hamburg, Kirchdorfer Straße 185","<a href=""../hamburg/21109/otto-brenner-strasse45.php"" target=""_blank"" title=""Kita ansehen""><b>kita otto-brenner-straße</b></a>"
321,kita otto-brenner-straße,"21109 Hamburg, Otto-Brenner-Straße 45","<a href=""../hamburg/21109/prassekstrasse3.php"" target=""_blank"" title=""Kita ansehen""><b>kita prassekstraße</b></a>"
322,kita prassekstraße,"21109 Hamburg, Prassekstraße 3","<a href=""../hamburg/21109/karl-arnold-ring13a.php"" target=""_blank"" title=""Kita ansehen""><b>kindergarten `bauspielplatz am galgenbrack´</b></a>"
323,kindergarten `bauspielplatz am galgenbrack´,"21109 Hamburg, Karl-Arnold-Ring 13 a","<a href=""../hamburg/21109/schoenenfelderstrasse5.php"" target=""_blank"" title=""Kita ansehen""><b>kinderhaus schönenfelder straße</b></a>"
324,kinderhaus schönenfelder straße,"21109 Hamburg, Schönenfelder Straße 5","<a href=""../hamburg/21109/kirchdorferstrasse76.php"" target=""_blank"" title=""Kita ansehen""><b>krümelkiste</b></a>"
325,krümelkiste,"21109 Hamburg, Kirchdorfer Straße 76",33
326,kita wittestraße,"21109 Hamburg, Wittestraße 3","<a href=""../hamburg/21109/wilhelm-strauss-weg6.php"" target=""_blank"" title=""Kita ansehen""><b>lunakids</b></a>"
327,lunakids,"21109 Hamburg, Wilhelm-Strauß-Weg 6",94
328,kinderzimmer inselpark,"21109 Hamburg, Am Inselpark 1",0
329,airbus-kita beluga,"21129 Hamburg, Neßkatenweg 6","<a href=""../hamburg/21129/jeverlaenderweg14.php"" target=""_blank"" title=""Kita ansehen""><b>kita jeverländer weg</b></a>"
330,kita jeverländer weg,"21129 Hamburg, Jeverländer Weg 14","<a href=""../hamburg/21129/finkenwerderlandscheideweg157.php"" target=""_blank"" title=""Kita ansehen""><b>ev.kindertagesheim arche noah finkenwerder</b></a>"
331,ev.kindertagesheim arche noah finkenwerder,"21129 Hamburg, Finkenwerder Landscheideweg 157",43
332,kindergarten sv este 06/70,"21129 Hamburg, Arp-Schnitger-Stieg 22",0
333,kita elbhalle,"21129 Hamburg, Finkenwerder Norderdeich 14",60
334,kita uhlenhoffweg,"21129 Hamburg, Uhlenhoffweg 7",140
335,kita nordlicht,"21129 Hamburg, Liedenkummer Bogen 5",55
336,kinderzentrum neuenfelde,"21129 Hamburg, Liedenkummer Bogen 2",80
337,kita estebogen,"21129 Hamburg, Estebogen 3",<br/>
338,kita am johannisland,"21147 Hamburg, Am Johannisland 4","<a href=""../hamburg/21147/neuwiedenthalerstrasse3.php"" target=""_blank"" title=""Kita ansehen""><b>kita neuwiedenthaler straße</b></a>"
339,kita neuwiedenthaler straße,"21147 Hamburg, Neuwiedenthaler Straße 3","<a href=""../hamburg/21147/rehrstieg38a.php"" target=""_blank"" title=""Kita ansehen""><b>kita rehrstieg</b></a>"
340,kita rehrstieg,"21147 Hamburg, Rehrstieg 38 a","<a href=""../hamburg/21147/wuemmeweg7c.php"" target=""_blank"" title=""Kita ansehen""><b>kita wümmeweg</b></a>"
341,kita wümmeweg,"21147 Hamburg, Wümmeweg 7 c","<a href=""../hamburg/21147/rehrstieg63.php"" target=""_blank"" title=""Kita ansehen""><b>kita quellmoor</b></a>"
342,kita quellmoor,"21147 Hamburg, Rehrstieg 63",30
343,deutsch-russischer kindergarten hamburg,"21147 Hamburg, Rehrstieg 63",30
344,kita dr. ernst hinze-haus,"21147 Hamburg, Stubbenhof 20",165
345,kita fantasia,"21147 Hamburg, Ünner Brandheid 27",100
346,kita `die kinderstube´,"21147 Hamburg, Ünner Brandheid 32",0
347,kita wunderland,"21147 Hamburg, Francoper Straße 55 a",80
348,kindertagesheim rappelkiste,"21147 Hamburg, Lange Striepen 9","<a href=""../hamburg/21147/zaunwickenweg6b.php"" target=""_blank"" title=""Kita ansehen""><b>kita neunmalklug ggmbh</b></a>"
349,kita neunmalklug ggmbh,"21147 Hamburg, Zaunwickenweg 6b",38
350,waldorfkindergarten an der rudolf steiner schule harburg,"21149 Hamburg, Ehestorfer Heuweg 82","<a href=""../hamburg/21149/falkenbergsweg48.php"" target=""_blank"" title=""Kita ansehen""><b>waldorfkindergarten neugraben</b></a>"
351,waldorfkindergarten neugraben,"21149 Hamburg, Falkenbergsweg 48",20
352,kita an der falkenbek,"21149 Hamburg, An der Falkenbek 4","<a href=""../hamburg/21149/cuxhavenerstrasse192.php"" target=""_blank"" title=""Kita ansehen""><b>kita cuxhavener straße</b></a>"
353,kita cuxhavener straße,"21149 Hamburg, Cuxhavener Straße 192","<a href=""../hamburg/21149/altemarsch7.php"" target=""_blank"" title=""Kita ansehen""><b>kindertagesstätte cornelius</b></a>"
354,kindertagesstätte cornelius,"21149 Hamburg, Alte Marsch 7",90
355,evangelische kita michaelis,"21149 Hamburg, Cuxhavener Straße 323",60
356,kindergarten don bosco,"21149 Hamburg, Cuxhavener Straße 178","<a href=""../hamburg/21149/rehrstieg17.php"" target=""_blank"" title=""Kita ansehen""><b>spielhaus und bauspielplatz neuwiedenthal</b></a>"
357,spielhaus und bauspielplatz neuwiedenthal,"21149 Hamburg, Rehrstieg 17","<a href=""../hamburg/21149/ohrnsweg50.php"" target=""_blank"" title=""Kita ansehen""><b>bewegungskindergarten `springmäuse´</b></a>"
358,bewegungskindergarten `springmäuse´,"21149 Hamburg, Ohrnsweg 50",46
359,kita himmelblau neugraben-fischbek,"21149 Hamburg, Kiesbarg 28",130
360,kita an der schule ohrnsweg,"21149 Hamburg, Ohrnsweg 52","<a href=""../hamburg/21149/stoertebekerweg30.php"" target=""_blank"" title=""Kita ansehen""><b>kinderhaus hotzenplotz</b></a>"
361,kinderhaus hotzenplotz,"21149 Hamburg, Störtebekerweg 30","<a href=""../hamburg/21149/cuxhavenerstrasse423.php"" target=""_blank"" title=""Kita ansehen""><b>bilinguale kita `sonnenschein´</b></a>"
362,bilinguale kita `sonnenschein´,"21149 Hamburg, Cuxhavener Straße 423",38
363,rudolf steiner kindergarten hamburg-tonndorf,"22041 Hamburg, Holstenhofstieg 11","<a href=""../hamburg/22041/schlossstrasse78.php"" target=""_blank"" title=""Kita ansehen""><b>`lÜtten-haus´ kindergarten der christuskirche wandsbek</b></a>"
364,`lÜtten-haus´ kindergarten der christuskirche wandsbek,"22041 Hamburg, Schloßstraße 78",60
365,ev. kindertagesheim kreuzkirche wandsbek,"22041 Hamburg, Walther-Mahlau-Stieg 9","<a href=""../hamburg/22041/boehmestrasse3-5.php"" target=""_blank"" title=""Kita ansehen""><b>kath. kindertagesstätte st. joseph</b></a>"
366,kath. kindertagesstätte st. joseph,"22041 Hamburg, Böhmestraße 3 - 5",92
367,kita rantzaustraße,"22041 Hamburg, Rantzaustraße 12",55
368,spielplatzhaus wandsbek,"22041 Hamburg, Wandsbeker Königstraße 51","<a href=""../hamburg/22041/hammerstrasse36.php"" target=""_blank"" title=""Kita ansehen""><b>bilinguale kindertagesstätte luisito 2</b></a>"
369,bilinguale kindertagesstätte luisito 2,"22041 Hamburg, Hammer Straße 36","<a href=""../hamburg/22041/wandsbekermarktstrasse103-107.php"" target=""_blank"" title=""Kita ansehen""><b>fröbel-kindergarten im wandsbek quarree</b></a>"
370,fröbel-kindergarten im wandsbek quarree,"22041 Hamburg, Wandsbeker Marktstraße 103-107",120
371,kita piggeldy,"22041 Hamburg, Walddörferstraße 27",18
372,kita kinderparadies,"22041 Hamburg, Rüterstraße 66a",bilingual deut.-rus.
373,kita königsknirpse,"22041 Hamburg, Auf dem Königslande 24","musikalische früherziehung, sport, natur,"
374,kita wandsewichte ug,"22041 Hamburg, Rüterstraße 66",<br/>
375,kita am husarendenkmal,"22043 Hamburg, Am Husarendenkmal 18","<a href=""../hamburg/22043/denksteinweg41.php"" target=""_blank"" title=""Kita ansehen""><b>kita denksteinweg</b></a>"
376,kita denksteinweg,"22043 Hamburg, Denksteinweg 41","<a href=""../hamburg/22043/hammerstrasse122.php"" target=""_blank"" title=""Kita ansehen""><b>kita hammer straße</b></a>"
377,kita hammer straße,"22043 Hamburg, Hammer Straße 122","<a href=""../hamburg/22043/jenfeldeallee49.php"" target=""_blank"" title=""Kita ansehen""><b>kita jenfelder allee</b></a>"
378,kita jenfelder allee,"22043 Hamburg, Jenfelder Allee 49","<a href=""../hamburg/22043/rauchstrasse5a.php"" target=""_blank"" title=""Kita ansehen""><b>kita rauchstraße</b></a>"
379,kita rauchstraße,"22043 Hamburg, Rauchstraße 5 a","<a href=""../hamburg/22043/rodigallee207.php"" target=""_blank"" title=""Kita ansehen""><b>ev. kindertagesheim ´der gute hirte´ - jenfeld</b></a>"
380,ev. kindertagesheim ´der gute hirte´ - jenfeld,"22043 Hamburg, Rodigallee 207","<a href=""../hamburg/22043/oktaviostrasse117.php"" target=""_blank"" title=""Kita ansehen""><b>kindergarten freese</b></a>"
381,kindergarten freese,"22043 Hamburg, Oktaviostraße 117",0
382,kindergarten marienkäfer hamburg-wandsbek e.v.,"22043 Hamburg, Zikadenweg 18",55
383,kindertagesstätte elfsaal,"22043 Hamburg, Elfsaal 20",70
384,kita ´räuberhöhle` auf dem spielgelände gleiwitzer bogen,"22043 Hamburg, Gleiwitzer Bogen 79a",25
385,kita lummerland an der asklepios klinik wandsbek,"22043 Hamburg, Alphonsstraße 14",83
386,kindervilla jenfeld,"22043 Hamburg, Barsbüttler Straße 67",30
387,kita bekkamp 52,"22045 Hamburg, Bekkamp 52",50
388,kita bekkamp 60,"22045 Hamburg, Bekkamp 60","<a href=""../hamburg/22045/dahlemerring3.php"" target=""_blank"" title=""Kita ansehen""><b>kita dahlemer ring</b></a>"
389,kita dahlemer ring,"22045 Hamburg, Dahlemer Ring 3","<a href=""../hamburg/22045/schweidnitzerstrasse32.php"" target=""_blank"" title=""Kita ansehen""><b>kita schweidnitzer straße</b></a>"
390,kita schweidnitzer straße,"22045 Hamburg, Schweidnitzer Straße 32",bewegungskita
391,kita steglitzer straße,"22045 Hamburg, Steglitzer Straße 10","<a href=""../hamburg/22045/rahlaukamp1.php"" target=""_blank"" title=""Kita ansehen""><b>kita tonndorfer schulstraße</b></a>"
392,kita tonndorfer schulstraße,"22045 Hamburg, Rahlaukamp 1 (Tonndorfer Schulstraße 9)","<a href=""../hamburg/22045/goerlitzerstrasse17.php"" target=""_blank"" title=""Kita ansehen""><b>ev. kindertagesstätte der friedenskirchengemeinde jenfeld</b></a>"
393,ev. kindertagesstätte der friedenskirchengemeinde jenfeld,"22045 Hamburg, Görlitzer Straße 17","<a href=""../hamburg/22045/roterlenweg15.php"" target=""_blank"" title=""Kita ansehen""><b>ev.-luth. kindertagesstätte tonndorf</b></a>"
394,ev.-luth. kindertagesstätte tonndorf,"22045 Hamburg, Roterlenweg 15","<a href=""../hamburg/22045/steglitzerstrasse13.php"" target=""_blank"" title=""Kita ansehen""><b>kindertagesstätte der markus-kirchengemeinde hohenhorst/rahlstedt-ost</b></a>"
395,kindertagesstätte der markus-kirchengemeinde hohenhorst/rahlstedt-ost,"22045 Hamburg, Steglitzer Straße 13","<a href=""../hamburg/22045/charlottenburger_strasse2.php"" target=""_blank"" title=""Kita ansehen""><b>kinderzimmer jenfelder bach</b></a>"
396,kinderzimmer jenfelder bach,"22045 Hamburg, Charlottenburger Straße 2",0
397,asb kita pillauer straße,"22047 Hamburg, Pillauer Straße 90 a",60
398,kita lavendelweg,"22047 Hamburg, Lavendelweg 9","<a href=""../hamburg/22047/pillauerstrasse84.php"" target=""_blank"" title=""Kita ansehen""><b>kindergarten st. stephan pillauer straße 84</b></a>"
399,kindergarten st. stephan pillauer straße 84,"22047 Hamburg, Pillauer Straße 84",60
400,ev.kita st.stephan,"22047 Hamburg, Stephanstraße 152a",56
401,kita mühlenhof,"22047 Hamburg, Ölmühlenweg 33",35
402,kita hänsel und gretel,"22047 Hamburg, Auf dem Königslande 79",0
403,kita stephanstraße,"22047 Hamburg, Stephanstraße 11",36
404,kita schule am eichtalpark,"22047 Hamburg, Walddörferstraße 243",40
405,kita konni und jule,"22047 Hamburg, Walddörferstraße 300",<br/>
406,kita alter teichweg,"22049 Hamburg, Alter Teichweg 203","<a href=""../hamburg/22049/lothringerstrasse18.php"" target=""_blank"" title=""Kita ansehen""><b>kita lothringer straße</b></a>"
407,kita lothringer straße,"22049 Hamburg, Lothringer Straße 18","<a href=""../hamburg/22049/tondernstrasse6.php"" target=""_blank"" title=""Kita ansehen""><b>kita tondernstraße</b></a>"
408,kita tondernstraße,"22049 Hamburg, Tondernstraße 6","<a href=""../hamburg/22049/strassburgerplatz6.php"" target=""_blank"" title=""Kita ansehen""><b>ev. kindertagesstätte dulsberg</b></a>"
409,ev. kindertagesstätte dulsberg,"22049 Hamburg, Straßburger Platz 6",40
410,spielhaus dulsberg,"22049 Hamburg, Stapelholmer Straße 2","<a href=""../hamburg/22049/probsteierstrasse35.php"" target=""_blank"" title=""Kita ansehen""><b>kita probsteier</b></a>"
411,kita probsteier,"22049 Hamburg, Probsteier Straße 35",30
412,kinderhaus alter teichweg,"22049 Hamburg, Alter Teichweg 183-185",34
413,kita `meine kita´,"22049 Hamburg, Dithmarscher Straße 27","<a href=""../hamburg/22049/alterteichweg141c.php"" target=""_blank"" title=""Kita ansehen""><b>kita nimmerland</b></a>"
414,kita nimmerland,"22049 Hamburg, Alter Teichweg 141 c",<br/>
415,kita pinelsweg,"22081 Hamburg, Pinelsweg 11","<a href=""../hamburg/22081/wagnerstrasse38.php"" target=""_blank"" title=""Kita ansehen""><b>kita wagnerstraße</b></a>"
416,kita wagnerstraße,"22081 Hamburg, Wagnerstraße 38","<a href=""../hamburg/22081/wohldorferstrasse33.php"" target=""_blank"" title=""Kita ansehen""><b>kita kreuzkirche alt-barmbek</b></a>"
417,kita kreuzkirche alt-barmbek,"22081 Hamburg, Wohldorfer Straße 33",44
418,stiftung kindergärten finkenau `baruhle 1 bilingual´,"22081 Hamburg, Von-Essen-Straße 82-84",75
419,stiftung kindergärten finkenau `baruhle 2 bilingual´,"22081 Hamburg, Wohldorferstr. 42",18
420,stiftung kindergärten finkenau `eulennest bilingual´,"22081 Hamburg, Finkenau 11 a","<a href=""../hamburg/22081/marschnerstrasse42.php"" target=""_blank"" title=""Kita ansehen""><b>kita marschnerstraße</b></a>"
421,kita marschnerstraße,"22081 Hamburg, Marschnerstraße 42",110
422,kinderkrippe kiku zwergenland,"22081 Hamburg, Richardstraße 16",36
423,"kita klinikum eilbek, schön kliniken","22081 Hamburg, Dehnhaide 120","<a href=""../hamburg/22081/uferstrasse1a.php"" target=""_blank"" title=""Kita ansehen""><b>kindertagesstätte uferstrasse (pas)</b></a>"
424,kindertagesstätte uferstrasse (pas),"22081 Hamburg, Uferstraße 1a","<a href=""../hamburg/22081/friedrichsberger_strasse18.php"" target=""_blank"" title=""Kita ansehen""><b>stiftung kindergärten finkenau `frieberg´</b></a>"
