,kita_name,kita_address,kita_spots
0,paul kirschkern,"10115 Berlin, Anklamerstr. 29",25
1,kinderinsel e. v. inselnest,"10115 Berlin, Eichendorffstraße 17",25
2,kinderladen 'piraterie',"10115 Berlin, Anklamer Str. 22",20
3,berlin cosmopolitan school - kindergarten in the park,"10115 Berlin, Invalidenstrasse 130",248
4,ina.kinder.garten habersaathstraße,"10115 Berlin, Habersaathstraße 5",90
5,oskar kirschkern,"10115 Berlin, Anklamerstr.29",30
6,kindergarten gartenstr. 107,"10115 Berlin, Gartenstr. 107",130
7,kita kinderakademie,"10115 Berlin, Habersaathstr.13",130
8,schröderzwerge,"10115 Berlin, Schröderstraße 13 I",10
9,kita der berlin metropolitan school,"10115 Berlin, Linienstraße 122",international school
10,kita cavalo marinho (deutsch-portugiesisch),"10115 Berlin, Anklamer Straße 46",30
11,frÖbel-kindergarten „casa fantasia“,"10115 Berlin, Anklamer Straße 38",69
12,frÖbel-kindergarten „mittendrin“,"10115 Berlin, Borsigstr. 33",180
13,jurella am park,"10115 Berlin, Chausseestrasse 50 B",54
14,musikkindergarten sternenklang,"10115 Berlin, Rheinsberger Straße 56",25
15,tagespflege wöhlertmäuse,"10115 Berlin, Wöhlertstr. 20",5
16,evangelische kita sophien,"10115 Berlin, Große Hamburger Straße 28/29",83
17,evangelische kita st. elisabeth,"10115 Berlin, Elisabethkirchstraße 19–21",129
18,naturkindergarten berlin mitte e.v.,"10115 Berlin, Krausnickstraße 11",0
19,casa azul - maison bleue,"10117 Berlin, Reinhardtstr. 31",0
20,kita französische straße,"10117 Berlin, Französische Straße 16",180
21,kinderinsel ziegelstraße,"10117 Berlin, Ziegelstraße 27",23
22,kindergarten jerusalemer str. 10/12,"10117 Berlin, Jerusalemer Str. 10/12",180
23,alegría - mohrenstraße,"10117 Berlin, Mohrenstr. 7",30
24,alegría - voßstraße,"10117 Berlin, Voßstr. 12",30
25,interkulturelle kita 'umka' (deutsch-russisch-jüdisch),"10117 Berlin, Leibziger Str. 47",65
26,kita 'kinderwelt',"10117 Berlin, An der Kolonnade 3/5",130
27,jump bilingual kindergarten,"10117 Berlin, Wilhelmstraße 88",60
28,regenbogenkita,"10119 Berlin, Fehrbelliner Straße 80",90
29,bik e.v. kita 'pfiffikus',"10119 Berlin, Rückerstr. 2",140
30,berlin cosmopolitan school - kindergarten & preschool,"10119 Berlin, Rückerstrasse 9",130
31,kita el mundo de los niños,"10119 Berlin, Ferbelliner Str 97",25
32,kita el mundo de los niños,"10119 Berlin, Brunnenstraße 30",42
33,eltern-initiativ-kindertagesstätte (ekt) mittenmang e.v.,"10119 Berlin, Christinenstr. 30",21
34,frieda kirschkern,"10119 Berlin, Christinenstr.21",25
35,kindergarten kl. auguststr. 10 - 12,"10119 Berlin, Kl. Auguststr. 10 - 12",120
36,ekt - pippi langstrumpf e.v.,"10119 Berlin, Mulackstr. 31",14
37,kita alte seifenfabrik (mitte),"10119 Berlin, Torstraße 134",80
38,kita 'oase',"10119 Berlin, Kastanienallee 63a",90
39,schülerladen komet (hort),"10119 Berlin, Templiner Straße 15",30
40,frÖbel-kindergarten „traumzauberbaum“,"10178 Berlin, Mollstraße 7a",240
41,kindertagespflege 'freunde',"10178 Berlin, Kleine Alexanderstraße 10",5
42,kita am alex,"10178 Berlin, Wadzeckstr. 3",100
43,kinderinsel mittendrin,"10178 Berlin, Garnisonkirchplatz 2",23
44,kinderinsel nebenan,"10178 Berlin, Garnisonkirchplatz 2",25
45,kindergarten lichtenberger str. 32/33,"10179 Berlin, Lichtenberger Str. 32/33",190
46,frÖbel-kindergarten „schatzinsel“,"10179 Berlin, Fischerinsel 7-8",225
47,alegría - schmidstraße,"10179 Berlin, Schmidstr. 4",30
48,kila 'spreepferdchen',"10179 Berlin, Köpenicker Straße 45",22
49,kita trauminsel,"10179 Berlin, Schmidstr. 2",70
50,zehn kleine raupenkinder tagespflege,"10179 Berlin, Michaelkirchplatz 12",10
51,kita spreefeld,"10179 Berlin, Wilhelmine-Gemberg-Weg 10",25
52,jacoby-schwalbe,"10179 Berlin, Jacobystr. 4",105
53,kita pusteblume,"10179 Berlin, Sebastianstraße 23",86
54,kita villa murkelmaier,"10179 Berlin, Sebastianstr. 22",90
55,"menschenskinder e. v., fürstenwalder straße 30","10243 Berlin, Fürstenwalder Str. 30",40
56,friedrichshainer pünktchen,"10243 Berlin, Warschauer Strasse 79",25
57,bik e. v. kita 'entdeckerland',"10243 Berlin, Hildegard-Jadamowitz-Str. 1",175
58,"menschenskinder e. v., stralauer allee 1","10243 , Stralauer Allee 1",30
59,rabenkinder e.v.,"10243 Berlin, Marchlewskistr. 93",25
60,kita playground,"10243 Berlin, Gubener Straße 51",30
61,boot-kita farbenland,"10243 Berlin, Koppenstr. 15",220
62,kindergarten fredersdorfer str. 6,"10243 Berlin, Fredersdorfer Str. 6",200
63,"schnatterstübchen, tagesmutter","10243 Berlin, Marchelewskistr. 94",5
64,kita die kleinen entdecker,"10243 Berlin, Strausberger Straße 49",90
65,frÖbel-kindergarten „fröbelspatzen“,"10243 Berlin, Palisadenstr. 30",225
66,kita andreasstraße,"10243 Berlin, Andreasstr. 37",120
67,kreativitätskindertagesstätte allesforscher,"10243 Berlin, Strausberger Straße 38",54
68,junior 1 kopernikushof,"10243 Berlin, Kopernikusstrasse 32","<a href=""../berlin/10243/gubener-strasse-46-2.php"" target=""_blank"" title=""Kita ansehen""><b>der bildungsgarten - der bildungsraum</b></a>"
69,der bildungsgarten - der bildungsraum,"10243 Berlin, Gubener Str. 46",51
70,kita ultimo auf dem holzmarkt,"10243 Berlin, Holzmarktstrasse 25",33
71,kita leonardo,"10243 Berlin, Kleine Markusstraße 9",130
72,till-eulenspiegel kette e.v.,"10245 Berlin, Simon-Dach Str. 24","montessori, pickler"
73,kila in gründung,"10245 Berlin, Rotherstr. 2",11
74,klein im hain,"10245 Berlin, Modersohnstr. 58",16
75,tholp kinderbetreuung,"10245 Berlin, Holteistrasse 19",42
76,glückskinder,"10245 Berlin, Markgrafendamm 26",35
77,bik e. v. kita 'kinderland',"10245 Berlin, Simplonstr. 18",190
78,kila in gründung,"10245 Berlin, Rotherstr. 5",15
79,kindergarten gryphiusstr. 34,"10245 Berlin, Gryphiusstr. 34",220
80,kindertagesstätte “spreeklang”,"10245 Berlin, Stralauer Allee 1",30
81,frÖbel-kindergarten „palmkernzeile“,"10245 Berlin, Palmkernzeile 8",175
82,luna kinderladen e.v.,"10245 Berlin, Simon-Dach-Straße 25",19
